Feature,Importance,Std
V15944,0.0003713387139555602,0.00014055728840125714
V9881,0.0003713387139555602,0.00012077888257746616
V13589,0.00037133871395553795,0.00017013333576327872
V14426,0.00037133871395553795,0.00013428854644890017
V3661,0.00036376037285443805,0.00013038271027307737
V11050,0.0003637603728544159,0.00012359900291991491
V14625,0.00036376037285439365,8.837788480687332e-05
V17877,0.000356182031753316,0.00010053805586315046
V3412,0.00035618203175329376,0.00017380690297721566
V5291,0.00035618203175329376,0.00010335479289899371
V8208,0.00035618203175329376,0.0001139274478297285
V6276,0.0003561820317532716,0.0001926151343584839
V16090,0.00035618203175324936,0.0002415577651549149
V1632,0.00034860369065214947,0.00018470020244711554
V19617,0.00034860369065214947,0.0001701333357632599
V12279,0.00034860369065214947,0.00011086157279624156
V8260,0.00034102534955102735,0.00015714782579917772
V6967,0.00034102534955102735,0.00011982409382623276
V2159,0.0003410253495510052,0.00020892044639597427
V7221,0.0003334470084499053,0.00010279762014512763
V13,0.0003334470084499053,0.00016672350422491225
V290,0.0003334470084498609,0.00024250691523626243
V4904,0.0003334470084498609,0.00010279762014513255
V7574,0.00032586866734878316,0.00013038271027309155
V12052,0.00032586866734873876,0.00018029445270538482
V6772,0.00031829032624763887,8.16212315885793e-05
V17728,0.00031829032624761664,0.00010876965703767457
V2179,0.00031829032624761664,0.00016182908191473538
V9585,0.00031829032624759447,0.00027176569401750035
V2240,0.00031829032624759447,0.00029700910071260724
V13767,0.00031829032624759447,0.00016182908191476864
V16002,0.0003107119851464946,0.00023651224333032272
V1130,0.0003107119851464946,0.0002365122433303227
V10714,0.0003107119851464946,0.00010555407735353583
V13702,0.0003107119851464946,9.996518478476419e-05
V11846,0.00031071198514647235,0.00018313888785712645
V19545,0.0003031336440453503,0.00015896462402635827
V3836,0.0003031336440453503,6.340495066759707e-05
V8823,0.0003031336440453503,0.00035464693135683775
V5289,0.0003031336440453503,0.0001417777798027321
V14424,0.00030313364404532805,0.0002335801600154754
V15607,0.00030313364404532805,0.00013766740270987452
V13781,0.00030313364404532805,0.00015714782579914023
V6532,0.00029555530294422816,8.77256405804277e-05
V2193,0.00029555530294420593,0.0001632424631771163
V3465,0.00028797696184310604,6.606644603902547e-05
V10617,0.00028797696184310604,0.00014298785392075232
V688,0.00028797696184308387,5.139881007255645e-05
V14855,0.00028797696184308387,0.0001564151979125768
V4121,0.00028797696184308387,0.00013683051104747447
V2010,0.00028797696184306164,0.00010053805586315046
V10046,0.00028039862074196175,8.50666678816171e-05
V9669,0.0002803986207419396,0.0001347155381352033
V18336,0.0002728202796408397,0.00011342222384218006
V11437,0.00027282027964081745,0.0002010761117262624
V4945,0.00027282027964081745,0.00012544386614564117
V20954,0.00027282027964081745,0.00017181287634049865
V15412,0.00027282027964079523,0.00014055728840128826
V14327,0.00026524193853969533,0.0001457723016306349
V9500,0.00026524193853969533,6.340495066759707e-05
V14847,0.00026524193853969533,0.00010446022319798108
V17390,0.00026524193853967316,0.00015714782579912418
V8531,0.00026524193853967316,8.96681411557128e-05
V9161,0.00026524193853967316,9.585927506100622e-05
V9716,0.00026524193853967316,5.870157775313614e-05
V17655,0.00026524193853967316,0.000370487107319337
V11568,0.00026524193853967316,8.966814115567527e-05
V9833,0.00025766359743857327,0.00015232277096164726
V11784,0.00025766359743855104,6.519135513656126e-05
V18375,0.00025766359743855104,9.404473984307276e-05
V17846,0.00025766359743855104,0.0001751236407607311
V17250,0.00025766359743855104,5.5689206383616883e-05
V4718,0.00025766359743855104,8.091454095737601e-05
V10361,0.00025766359743855104,8.091454095737601e-05
V13365,0.00025766359743855104,0.00018470020244710825
V9624,0.00025766359743855104,0.0001055540773535199
V9905,0.00025766359743855104,0.00013428854644894776
V16177,0.000250085256337429,9.156944392855173e-05
V11095,0.000250085256337429,0.0002217231455924543
V788,0.00025008525633740675,0.00021911761274375679
V10064,0.00025008525633740675,0.00014298785392075465
V13925,0.00024250691523630685,0.00015824040784982764
V8070,0.00024250691523628465,0.00013256682721032013
V9426,0.00024250691523628465,0.00013683051104746956
V8807,0.00024250691523626245,5.671111192109521e-05
V9556,0.00023492857413516256,0.0001614738035896031
V19633,0.00023492857413516256,0.00013428854644894776
V19916,0.00022735023303404044,5.870157775313614e-05
V11971,0.00022735023303404044,9.585927506100622e-05
V18923,0.00022735023303401824,0.00019616049570753334
V14531,0.00022735023303401824,0.00011982409382624679
V5865,0.00022735023303399604,8.301656739118387e-05
V11086,0.00021977189193289615,0.0001342885464489578
V8745,0.00021977189193289615,0.00017512364076072918
V19543,0.00021977189193289615,4.418894240345189e-05
V20611,0.00021977189193289615,9.996518478476081e-05
V19785,0.00021977189193287395,6.062672880907394e-05
V6923,0.00021977189193287395,0.00010279762014513746
V10476,0.00021219355083177405,4.547004660681401e-05
V7342,0.00021219355083175185,9.764009493181104e-05
V6920,0.00021219355083175185,9.156944392855909e-05
V19585,0.00021219355083175185,6.156673414901542e-05
V16650,0.00021219355083175185,9.764009493179378e-05
V2149,0.00021219355083175185,0.0001600448037735934
V16307,0.00021219355083175185,0.00010335479289897745
V15552,0.00021219355083172963,0.0002841625290326565
V1790,0.00020461520973062973,0.0001926151343585171
V19959,0.00020461520973062973,8.506666788165667e-05
V2234,0.00020461520973062973,3.8642109155349134e-05
V6538,0.00020461520973062973,5.139881007255645e-05
V10834,0.00020461520973062973,9.764009493181102e-05
V11793,0.00020461520973060753,0.0002931162836696436
V10248,0.00020461520973060753,0.00026098556868208106
V3750,0.00019703686862950764,3.7126137589089505e-05
V4554,0.00019703686862950764,3.7126137589089505e-05
V3260,0.00019703686862950764,9.705011916839561e-05
V357,0.00019703686862950764,0.0001445855331616021
V17939,0.00019703686862948544,0.00011086157279625674
V7665,0.00019703686862948544,0.00019964290663209873
V5271,0.00019703686862948544,0.00015787705396537365
V20207,0.00019703686862948544,6.51913551365561e-05
